AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM,SP500
74.91,155.39,96.27,29.95,115.17,103.38,241.45,132.53,165.36,2246.19
74.77,156.49,95.53,30.06,115.81,104.86,241.85,133.39,166.52,2259.53
73.58,157.16,95.08,30.17,117.15,104.06,237.17,134.58,165.5,2256.96
73.84,156.66,96.02,30.59,117.42,103.85,238.55,136.54,168.29,2271.72
74.07,154.47,93.74,30.46,115.96,104.05,239.93,135.98,168.51,2253.28
74.94,153.77,94.53,30.63,117.05,104.39,243,135.84,168.02,2262.03
75,154.5,92.58,30.59,118.08,103.91,238.9,135.11,166.73,2258.07
74.55,156.18,92.71,30.75,117.65,105.3,239.07,135.44,166.68,2262.53
75.06,156.39,94.34,30.56,117.95,105.46,243.09,137.11,167.6,2270.76
75.32,157.48,93.82,30.42,117.91,105.56,241.44,136.83,167.33,2265.18
74.58,157.46,94.12,30.46,118.77,105.42,240.12,135.43,167.06,2260.96
74.97,157.81,94.32,30.53,118.42,105.15,240.97,135.05,166.71,2263.79
74.98,157.48,94.55,30.68,118.22,105.17,241.56,135.26,167.14,2268.88
74.37,156.1,93.15,30.42,117.91,104.3,240.65,135.07,166.19,2249.92
73.92,155.69,93.29,30.46,117.82,104.56,238.18,135.1,166.6,2249.26
74.08,155.68,92.74,30.22,117.7,104.22,239.45,134.08,165.99,2238.83
75.35,156.97,93.99,30.54,117.85,106.08,241.57,134.31,167.19,2257.83
76.26,158.62,93.57,30.1,117.82,107.44,243.13,135.5,169.26,2270.75
75.32,158.71,93,30.17,117.31,107.38,241.32,133.9,168.7,2269
75.47,159.1,93.04,30.23,116.84,108.98,244.9,133.53,169.53,2276.98
75.86,158.32,92.37,30.18,115.84,108.36,242.89,134.31,167.65,2268.9
76.65,159.07,93.83,30.38,114.96,108.38,242.57,136.1,165.52,2268.9
76.91,159.4,94.65,30.15,115.93,109.44,245.76,135.7,167.75,2275.32
76.88,158.29,93.99,30.04,116.16,107.53,243.84,135.07,167.95,2270.44
76.62,158.83,94.48,30.07,116.38,108.06,244.3,135.04,167.34,2274.64
76.6,157.67,93.57,29.99,116.28,107.97,235.74,135.93,167.89,2267.89
77.49,158.32,93.33,30.03,115.94,108.16,234.29,136.16,166.8,2271.89
76.69,159,93.38,29.98,115.58,107.28,231.41,135.39,166.81,2263.69
76.2,159.53,94.58,30.1,115.6,107.66,232.2,135.6,170.55,2271.31
75.97,157.84,94.46,30.27,115.39,107.12,232.67,138.07,171.03,2265.2
77.43,160.55,96.24,30.6,116.37,107.9,233.68,138.06,175.9,2280.07
76.89,167.36,98.15,30.7,117.24,108.04,237.25,137.48,178.29,2298.37
76.93,169.12,97.22,30.74,116.55,108.06,239.58,138.46,178.66,2296.68
76.85,167.7,98.99,30.98,113.79,109.3,236.95,138.33,177.3,2294.69
77.28,165.57,96.79,30.83,111.82,110.94,233.9,138.47,175.8,2280.9
76.38,163.42,95.66,30.72,111.35,110.65,229.32,137.58,174.52,2278.87
76.76,163.97,95.11,30.5,111,111.3,230.67,137.44,174.29,2279.55
76.51,162.26,93.77,31.18,112.21,110.61,230.41,136.95,174.58,2280.85
78.04,162.4,93.28,31.32,113.57,110.3,240.95,137.98,175.82,2297.42
77.82,163.98,92.87,31.3,112.98,109.57,239.98,136.49,175.86,2292.56
77.72,166.5,93.31,31.45,111.39,109,239.62,136.65,178.46,2293.08
77.8,163.81,92.91,31.27,111.58,109,237.73,137.88,176.17,2294.67
78.18,164.28,93.96,31.5,112.26,109.49,241.55,138.71,177.21,2307.87
78.48,166.23,96.31,31.51,113.05,109.26,242.72,139.85,178.68,2316.1
78.91,168.03,98.5,31.97,113.91,109.65,246.27,139.87,179.36,2328.25
79.41,168.5,98.09,32.31,112.52,110.33,249.46,141.36,180.13,2337.58
79.6,169.3,99.02,32.82,112.57,110.18,250.54,142.19,181.68,2349.25
79.51,170.81,98.26,33.6,110.68,110.71,249.44,141.54,181.43,2347.22
79.71,172.71,98.85,33.74,110.33,110.06,250.38,143,180.67,2351.16
79.97,175.56,98.1,34.13,111.72,110.01,251.76,145.02,180.26,2365.38
79.86,175.36,98.2,34.09,110.38,110.12,251.73,145.25,181.15,2362.82
80.05,176.86,95.55,34.04,111.02,109.73,251.19,144.71,181.65,2363.81
